MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	RT	Resp	ChosenSide	choice	Stay
1	1	0	0.8	-0	NaN	0	1	1	1	7	7	NaN	NaN	NaN	NaN	0
1	2	0	1	0.2	-0	0	1	1	1	7	8	601.525912003126	j	1	1	1
0	1	0.4	1	NaN	0.2	1	1	1	1	7	9	799.032619979698	j	1	0	0
1	2	0.4	1	1	NaN	1	1	1	1	7	10	611.382745992159	j	1	1	1
1	1	0.6	0.4	0.4	1	0	1	1	1	7	11	799.608119006734	k	2	1	0
0	2	0.2	0.8	1	0.4	1	1	1	1	7	12	989.147868007421	k	2	1	1
1	1	0	0.6	0.4	1	1	1	1	1	7	13	675.520679011242	j	1	1	NaN
1	1	0	1	0.6	0.8	1	0	0	1	7	14	NaN	NaN	NaN	NaN	0
0	1	0	0.8	NaN	0.6	1	0	0	0	7	15	756.55202800408	k	2	1	0
1	1	0.2	0.4	0.8	NaN	0	0	0	0	7	16	723.222383996472	k	2	1	1
1	2	0	0.6	0.8	0.4	1	4	1	1	7	17	511.403115000576	j	1	1	NaN
0	2	-0	1	0.6	0.4	0	0	0	1	7	18	NaN	NaN	NaN	NaN	NaN
0	1	0.4	1	0.4	0.8	1	2	1	0	7	19	611.125808994984	j	1	1	1
1	2	0.4	0.6	NaN	0.6	1	1	1	0	7	20	NaN	NaN	NaN	NaN	0
1	1	0.2	0.2	1	NaN	0	1	1	1	7	21	613.082534982823	j	1	1	1
0	2	0.4	0.6	NaN	1	0	1	1	1	7	22	712.366769002983	k	2	1	0
1	1	0	0.4	0.2	NaN	1	1	1	1	7	23	804.745483008446	j	1	1	1
0	2	0.8	0	0.6	0.2	1	1	1	1	7	24	752.783476025797	j	1	1	1
0	1	0.4	0.8	0.4	0.6	1	1	1	1	7	25	648.760159994708	k	2	1	1
0	2	0.6	1	0	0.4	1	1	1	1	7	26	811.369493982056	j	1	0	0
1	1	0.2	0.8	0.8	0	0	1	1	1	7	27	914.388915989548	k	2	1	1
0	1	0.6	0.6	0.8	0.6	1	0	0	1	7	28	647.054610017221	j	1	1	1
1	1	0.6	0.4	0.6	0.8	0	0	0	0	7	29	787.085295014549	j	1	1	1
0	2	0	0.8	0.6	0.8	0	3	1	1	7	30	633.297471009428	j	1	0	1
0	2	0.2	0.6	0	0.4	1	0	0	1	7	31	852.296247001505	k	2	1	0
0	2	0.6	0.4	0.6	0	0	0	0	0	7	32	796.9327759929	j	1	1	1
1	1	0.8	0.6	0.4	0.6	1	3	1	0	7	33	742.443138995441	k	2	1	1
1	1	1	0.2	0.6	0.4	1	0	0	1	7	34	709.78274900699	j	1	1	1
0	1	0.8	0.4	0.2	0.6	1	0	0	0	7	35	880.593964015134	j	1	0	0
0	1	0.4	0.2	0.8	0.2	0	0	0	0	7	36	574.397588003194	j	1	0	1
0	1	1	0.4	0.4	0.8	0	0	0	0	7	37	881.458371004555	j	1	0	1
0	2	0.4	0.6	0.4	0.6	1	5	1	0	7	38	760.799367009895	j	1	0	0
0	2	0	0.2	0.4	1	1	0	0	1	7	39	925.971844990272	j	1	0	1
0	1	0.8	0	1	0.4	0	2	1	0	7	40	753.418634005357	j	1	0	1
0	1	0.8	0.6	0.8	0	0	0	0	1	7	41	968.930883012945	k	2	0	NaN
1	1	0.2	0.2	0.8	0.8	0	0	0	0	7	42	NaN	NaN	NaN	NaN	0
1	2	0	0	0	0.4	1	3	1	0	7	43	787.719776009908	k	2	1	0
0	2	1	0.2	0	NaN	0	0	0	1	7	44	622.489825007506	k	2	1	NaN
1	1	0.6	0.6	NaN	0.8	1	2	1	0	7	45	956.520686013391	j	1	0	0
1	1	0.4	0.2	0.6	0.2	1	0	0	1	7	46	833.212263998576	k	2	0	1
0	1	0	0.4	0.4	0.6	1	0	0	0	7	47	768.829369015293	j	1	0	1
0	2	0.4	0	0.2	0	0	3	1	0	7	48	NaN	NaN	NaN	NaN	0
1	1	0.8	0.6	0	0.4	0	1	1	0	7	49	899.012807989493	k	2	0	1
1	1	0	0.6	0.8	NaN	1	0	0	1	7	50	614.113653980894	j	1	0	1
0	2	0.4	0	NaN	0	0	2	1	1	7	51	522.250864974922	j	1	1	0
0	1	0.4	1	0	0.8	1	1	1	0	7	52	753.346373996465	j	1	0	1
0	1	0.4	0.8	0.4	0	0	0	0	1	7	53	555.627491004998	j	1	0	1
0	1	-0	0.4	0.4	0.4	0	0	0	0	7	54	915.61292600818	j	1	1	0
0	1	0.2	0.2	0.4	0.4	0	0	0	0	7	55	777.150927984621	k	2	1	1
0	1	-0	1	0.2	0.4	0	0	0	0	7	56	387.281489005545	k	2	1	NaN
1	2	0.6	0	0	0	0	5	1	1	7	57	913.531973987119	k	2	1	1
0	2	1	0.4	0	1	0	0	0	1	7	58	668.760433007265	k	2	0	0
0	2	0.6	0.6	1	0	1	0	0	0	7	59	499.677574000088	j	1	0	1
1	1	0.4	1	1	0.2	0	3	1	0	7	60	NaN	NaN	NaN	NaN	0
1	2	0.8	0.2	0.6	1	1	1	1	0	7	61	876.258966018213	j	1	0	1
1	2	-0	0.6	0.8	NaN	1	0	0	1	7	62	987.513341999147	k	2	0	1
1	2	0.4	0.4	-0	0.8	0	0	0	0	7	63	782.484461989952	j	1	0	1
0	2	0.4	1	0.4	-0	1	0	0	0	7	64	926.184361014748	k	2	1	NaN
1	1	0.2	0.2	NaN	0.6	1	4	1	1	7	65	603.304379008478	j	1	0	NaN
0	2	0.2	0.6	1	0.4	1	1	1	0	7	66	NaN	NaN	NaN	NaN	0
0	1	0.2	-0	0.2	1	1	1	1	1	7	67	NaN	NaN	NaN	NaN	0
1	2	0.4	0.4	NaN	0.2	0	1	1	1	7	68	944.979050022084	k	2	1	0
0	2	0.6	0.4	0.4	NaN	0	0	0	1	7	69	684.008313983213	j	1	0	NaN
1	2	0.4	0.4	0.6	0.4	0	0	0	0	7	70	NaN	NaN	NaN	NaN	0
1	1	0.6	0.8	NaN	NaN	0	3	1	1	7	71	849.493785004597	k	2	1	0
0	2	0.2	0	NaN	0.6	0	1	1	0	7	72	667.616413003998	k	2	1	NaN
1	2	0.6	0	0	0.8	0	0	0	1	7	73	NaN	NaN	NaN	NaN	0
1	1	0.6	0	0.8	NaN	1	2	1	1	7	74	824.48953599669	j	1	1	1
0	2	0.8	0.4	NaN	0	1	1	1	0	7	75	674.782994989073	j	1	1	0
0	1	0.6	0	0	NaN	1	1	1	1	7	76	554.949982004473	k	2	1	1
0	1	0.6	0.6	0	0.4	0	0	0	1	7	77	591.06618797523	j	1	1	1
0	1	0.8	0	0.6	0	0	0	0	0	7	78	581.916686991462	j	1	1	1
0	1	0.6	-0	0	0.6	0	0	0	0	7	79	521.370324015152	k	2	0	0
0	1	0.2	0	0.6	0	0	0	0	0	7	80	628.255515010096	j	1	0	1
1	2	0.6	-0	0.4	0	1	5	1	1	7	81	812.372095999308	k	2	0	0
1	2	0.6	-0	0.6	0.2	0	0	0	1	7	82	632.675972010475	j	1	0	1
0	1	0.4	0.4	0.2	0.6	0	2	1	0	7	83	788.102549005998	j	1	0	1
1	2	1	0.8	0.6	0.6	1	1	1	0	7	84	610.081177001121	k	2	0	1
0	2	0.4	-0	1	0.4	1	0	0	1	7	85	692.840246018022	k	2	0	1
0	1	1	0.2	0.4	0.6	0	2	1	1	7	86	563.572363986168	j	1	0	1
0	1	0.2	0.4	1	0.4	0	0	0	1	7	87	614.787166996393	j	1	0	1
1	2	1	0.6	0.4	1	0	2	1	0	7	88	692.197529016994	k	2	0	1
1	2	1	0.4	1	0.2	0	0	0	1	7	89	524.238114012405	k	2	0	1
1	1	1	0.2	0.2	1	0	2	1	0	7	90	719.735677004792	j	1	0	1
0	2	0.2	0.4	1	1	0	1	1	0	7	91	769.757489004405	k	2	1	0
1	1	0.8	0	1	1	1	1	1	1	7	92	869.609893008601	j	1	1	0
0	1	0.8	0.2	0	0.4	1	0	0	1	7	93	602.63682497316	k	2	1	1
1	1	0.8	0	0.2	0	0	0	0	0	7	94	688.624350004829	k	2	0	0
0	2	0.6	0	0.4	1	0	3	1	1	7	95	981.814226979623	j	1	1	NaN
0	2	0.6	0.4	0	0.8	0	0	0	1	7	96	NaN	NaN	NaN	NaN	0
1	1	0.6	0.8	0.8	0.2	1	2	1	0	7	97	965.378752007382	j	1	0	1
0	2	0.4	0	NaN	0	0	1	1	0	7	98	882.010886009084	j	1	0	0
1	2	0.2	0.6	0.4	0.6	0	0	0	1	7	99	703.662157000508	j	1	0	1
0	1	0.6	0.4	0.6	NaN	1	2	1	1	7	100	566.995859000599	j	1	0	1
0	2	0.8	0	0.2	0.4	0	1	1	0	7	101	377.575427002739	k	2	1	0
1	1	0.4	0.2	0.6	0.2	0	1	1	1	7	102	662.628432008205	j	1	1	0
1	1	0.2	0.4	0.2	0	1	0	0	1	7	103	595.957747020293	j	1	0	0
0	1	1	0.6	0.2	0.2	1	0	0	0	7	104	587.634436989902	j	1	0	1
0	2	0.8	-0	0	0.6	1	3	1	1	7	105	857.210140995448	k	2	0	0
1	2	0.4	-0	0.8	1	1	0	0	1	7	106	875.310179020744	j	1	0	1
1	2	0.6	0.2	0.4	0.8	0	0	0	0	7	107	575.963142997352	k	2	0	1
1	2	0.6	0.4	0.6	0.4	1	0	0	0	7	108	582.832943007816	k	2	0	1
